"nama file","persentasi","Jumlah Pertanyaan Benar"
"percobaan_1.csv","24.0%","12.0"
"percobaan_2.csv","24.0%","12.0"
"percobaan_3.csv","22.0%","11.0"
"percobaan_4.csv","24.0%","12.0"
"percobaan_5.csv","24.0%","12.0"
"percobaan_6.csv","34.0%","17.0"
"percobaan_7.csv","24.0%","12.0"
"percobaan_8.csv","24.0%","12.0"
"percobaan_9.csv","28.000000000000004%","14.0"
"percobaan_10.csv","57.99999999999999%","29.0"
"percobaan_11.csv","50.0%","25.0"
"percobaan_12.csv","50.0%","25.0"
"percobaan_13.csv","50.0%","25.0"
"percobaan_14.csv","50.0%","25.0"
"percobaan_15.csv","50.0%","25.0"
"percobaan_16.csv","50.0%","25.0"
"percobaan_17.csv","20.0%","10.0"
"percobaan_18.csv","20.0%","10.0"
"percobaan_19.csv","18.0%","9.0"
"percobaan_20.csv","20.0%","10.0"
"percobaan_21.csv","20.0%","10.0"
"percobaan_22.csv","30.0%","15.0"
"percobaan_23.csv","28.000000000000004%","14.0"
"percobaan_24.csv","18.0%","9.0"
"percobaan_25.csv","24.0%","12.0"
"percobaan_26.csv","56.00000000000001%","28.0"
"percobaan_27.csv","46.0%","23.0"
"percobaan_28.csv","44.0%","22.0"
"percobaan_29.csv","46.0%","23.0"
"percobaan_30.csv","46.0%","23.0"
"percobaan_31.csv","46.0%","23.0"
"percobaan_32.csv","46.0%","23.0"
